a	阿
phòngBị	防備
phòngKhách	房客
phòngKhông	防空
phòngNgủ	房𥄬
phòngTrà	房茶
phòngVệ	防衛
phòngĂn	房咹	房𩛖
phương	方
phường	坊
phạm	犯
phạmNhân	犯人
phạmPháp	犯法
phải	沛
phản	反
phảnĐối	反对	反對
phần	分
phầnCông	分工
phầnLớn	分𡘯
phầnNhiều	分𡗉
phầnNào	分芇
phầnTrăm	分𤾓
phầnTử	分子
phầnViệc	分役
phẩm	品
phẩmLoại	品類
phật	佛
phậtGiáo	佛教
phậtTổ	佛組
phậtĐường	佛堂
phố	鋪
phốXá	鋪舍
phủ	府
qua	戈
quan	関	關	觀
quanHệ	関係	關係
quanTrọng	関重	關重
quang	光
quanÂm	觀音
quanĐiểm	觀點
quaĐời	戈𠁀
quyết	決
quyếtĐịnh	決定
quyếtĐịnhLuận	決定論
quyền	权	權
quyềnLực	权力	權力
quyềnNăng	权能	權能
quá	過
quáLắm	過𡗋
quáTrình	過程
quân	軍
quânSự	軍事
quânĐội	軍隊
quả	果
quốc	國
quốcDoanh	國营	國營
quốcGia	國家
quốcNgữ	國語
quốcPhòng	國防
quốcTế	國际	國際
quỳ	跪
quỳnh	瓊
ra	𦋦
raTrận	𦋦陣
raVào	𦋦𠓨
raĐi	𦋦𠫾
rất	慄
rấtLà	慄羅
rằng	浪	哴
rồi	耒
rồiRa	耒𦋦
rồng	龍
sao	牢
sau	𡢐
sauCùng	𡢐共
sauHết	𡢐歇
sauKhi	𡢐欺
sauNày	𡢐尼	𡢐呢
sauNữa	𡢐女
sauXưa	𡢐𠸗
sauĐây	𡢐低
sauĐó	𡢐妬
sen	蓮
sinh	生
sinhNhật	生日
sinhTrưởng	生長
sinhViên	生員
sinhVật	生物
sách	冊	册
sáng	𤎜
sángMắt	𤎜眜
sáu	𦒹
sôi	炊
sĩ	士
sơn	山
sơnLâm	山林
sư	師
sưTrưởng	師長
sản	産
sảnPhẩm	産品
sảnXuất	産出
sắc	色
sắcĐẹp	色𢢲
sẻ	𢩿
sẽ	𠱊
số	数
sốLiệu	数料
sốLượng	数量
sống	𤯩
sốÍt	数𠃣
sợi	𥾘
sợiChỉ	𥾘𥿗
sứ	使
sử	史
sửDụng	使用
sửHọc	史学	史學
sửSách	史冊	史册
sự	事
sựVật	事物
ta	些
tay	𢬣
tayTrắng	𢬣𤽸
tham	貪	参	參
thamChiến	参戰	參戰
thamGia	参加	參加
thamKhảo	参考	參考
thamQuan	参觀	參觀
thamTài	貪財
thamĂn	貪咹	貪𩛖
thanh	青	清	聲
thanhLong	青龍
thanhNiên	青年
thanhThiên	青天
thanhToán	清算
thanhTra	清查
thanhTâm	清心
thay	台
thayVì	台為	台爲
theo	遶
thi	詩	試
thiCử	試舉
thiNhân	詩人
thiên	天
thiênSứ	天使
thiênĐường	天堂
thiếu	少
thiệt	寔
thu	秋
thuyền	船
thuyềnTrưởng	船長
thuật	朮	術
thuộc	屬
thuộcLòng	屬𢚸
thuộcĐịa	屬地
thuỷ	水
thành	城	成	誠
thànhCông	成功
thànhPhần	成分
thànhPhố	城鋪
thànhThật	誠實
thànhThị	城市
thànhThử	成此
thái	太
tháiBình	太平
tháiBìnhDương	太平洋
tháiTử	太子
tháng	𣎃
thángTư	𣎃四
thân	身
thânThể	身体	身體
thêm	添
thì	時
thìGiờ	時𣇞
thích	適	釋
thíchHợp	適合
thíchÝ	適意
thông	聪	聰	通
thôngBáo	通報
thôngDụng	通用
thôngMinh	聪明	聰明
thôngTin	通信
thư	書
thưĐiệnTử	書電子
thương	傷
thường	常
thườngKhi	常欺
thườngNgày	常𣈜
thườngNhật	常日
thườngNiên	常年
thườngThường	常常
thượng	上
thượngHải	上海
thượngKhách	上客
thượngPhẩm	上品
thất	失
thấtThường	失常
thấtTrận	失陣
thấy	𧡊
thần	神
thầy	偨
thầyGiáo	偨教
thập	十
thậpNiên	十年
thật	實
thế	替	世	勢
thếGiới	世界
thếKỷ	世紀
thếNào	勢芇
thếPhẩm	替品
thếSự	世事
thếTục	世俗
thể	体	體
thị	視	市	示
thịTrường	市場
thống	統
thổ	土
thời	時
thờiCơ	時机	時機
thờiGian	時間
thờiKỳ	時期
thờiTiết	時節
thờiĐại	時代
thủ	首	手
thủTrưởng	首長
thủTướng	首將
thứ	次
thứBa	次𠀧
thứBảy	次𦉱
thứHai	次𠄩
thứNhì	次二
thứNhất	次一
thứNăm	次𠄼
thứSáu	次𦒹
thứTrưởng	次長
thứTư	次四
thứYếu	次要
thức	式
thứcĂn	式咹	式𩛖
thử	試	此
thựcHiện	實現
tin	信
tinTức	信息
tinh	精
tinhMinh	精明
tinhThần	精神
tiên	仙	先
tiêu	椒
tiếc	惜
tiếng	㗂
tiếngAnh	㗂英
tiếngMỹ	㗂美
tiếngNhật	㗂日
tiếngNói	㗂吶	㗂呐
tiếngPháp	㗂法
tiếngTrungQuốc	㗂中國
tiếngViệt	㗂越
tiếngÝ	㗂意
tiếngĐức	㗂德
tiếp	接
tiếpGiáp	接夾
tiếpTục	接俗
tiết	節
tiếtMục	節目
tiền	前	錢
tiềnBạc	錢鉑
tiềnGiấy	錢紙
tiềnMặt	錢𩈘
tiềnNhân	前人
tiềnSử	前史
tiềnĐề	前提
tiềnĐịnh	前定
tiềnĐồ	前途
tiểu	小
tiểuBang	小邦
tiểuHọc	小学	小學
tiểuSử	小史
tiệm	店
tiệmĂn	店咹	店𩛖
to	𡚢
toLớn	𡚢𡘯
toàn	全
toán	算
tra	查
traCứu	查究
trai	𤳆
trang	妝
trangĐiểm	妝點
triều	朝
triển	展
triệu	兆
trong	𥪝	𤄯
trongKhi	𥪝欺
trongSáng	𤄯𤎜
trung	中
trungKỳ	中圻
trungQuốc	中國
trungTâm	中心
trungTâmNghiênCứu	中心研究
truyền	傳
truyềnHình	傳形
truyềnThanh	傳聲
truyện	傳
trà	茶
tràXanh	茶撑	茶𩇢
trái	賴	𣛤
tráiĐất	𣛤坦
trên	𨕭
trình	呈	程
trìnhĐộ	程度
trí	置
trăm	𤾓
trăng	𦝄
trương	張
trước	𠓀
trướcKhi	𠓀欺
trướcMặt	𠓀𩈘
trướcSau	𠓀𡢐
trướcĐây	𠓀低
trường	場	長
trườngBay	場𠖤
trườngHọc	場学	場學
trườngHợp	場合
trườngTiểuHọc	場小学	場小學
trườngĐạiHọc	場大学	場大學
trưởng	長
trưởngKhoa	長科
trưởngThành	長成
trả	呂
trảLời	呂𠳒
trảƠn	呂恩
trần	陳
trận	陣
trắng	𤽸
trẻ	𥘷
trẻCon	𥘷𡥵
trẻEm	𥘷㛪
trẻTuổi	𥘷歲
trị	治	値
trịBệnh	治病
trọng	重
trọngYếu	重要
trời	𡗶
trờiMưa	𡗶𩅹
trở	𧿨
trởLại	𧿨吏
trởNên	𧿨𢧚
trởVề	𧿨𧗱
trợ	助
trợLý	助理
trợThủ	助手
trợĐộngTừ	助動詞
tui	碎	倅
tuy	雖
tuyNhiên	雖然
tuổi	歲
tuổiTrẻ	歲𥘷
ty	司
tài	才	財	材
tàiChính	財政
tàiLiệu	材料
tàiNăng	才能
tàu	艚
tàuChiến	艚戰
tác	作
tácGia	作家
tám	𠔭
tâm	心
tâmThần	心神
tây	西
tên	𠸜	𥏌
tênGọi	𠸜噲
tênHọ	𠸜户	𠸜戶
tênLửa	𥏌焒
tênTục	𠸜俗
tìm	尋
tìmHiểu	尋曉
tình	情
tìnhCảm	情感
tìnhYêu	情𢞅
tìnhÂn	情恩
tính	併
tínhToán	併算
tôi	碎	倅
tôiTớ	碎伵	倅伵
tư	四
tướng	將
tại	在
tạiSao	在牢
tạiVì	在為	在爲
tạm	暫
tạmBiệt	暫别
tạmThời	暫時
tạo	造
tạoHoá	造化
tạoRa	造𦋦
tất	毕	畢	必
tấtCả	毕哿	畢哿
tấtNhiên	必然
tấtYếu	必要
tế	济	濟	际	際
tết	節
tếtNguyênĐán	節元旦
tếtTrungThu	節中秋
tỉnh	省
tối	最
tốiCao	最高
tốiHậu	最後
tốiHậuThư	最後書
tốiNghĩa	最義
tốiNgày	最𣈜
tốiThiểu	最少
tốiĐa	最多
tổ	組	祖
tổChức	組織
tổHợp	組合
tổQuốc	祖國
tổTiên	祖先
tổng	總
tổngCộng	總共
tổngKết	總結
